"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Erysimum_smyrnaeum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_sintenisianum",0.0643750774344211,0.513446091568242,0.157676251579009,4.04711483505003,"perennial"
"Erysimum_odoratum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_sylvestre",0.0659638300207029,0.513446091568242,0.157676443850965,4.04711483505003,"perennial"
"Erysimum_aureum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_franciscanum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_capitatum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_asperum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_incanum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_cheiranthoides",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_pusillum",0.0643750774344211,0.513446091568242,0.157676251579009,4.04711483505003,"perennial"
"Erysimum_bonannianum",0.0643750774344211,0.513446091568242,0.157676251579009,4.04711483505003,"perennial"
"Erysimum_sisymbrioides",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_crassistylum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_crassipes",0.0643750774344211,0.513446091568242,0.157676251579009,4.04711483505003,"perennial"
"Erysimum_pectinatum",0.0643750774344211,0.513446091568242,0.157676251579009,4.04711483505003,"perennial"
"Erysimum_hajastanicum",0.0643750774344211,0.513446091568242,0.157676251579009,4.04711483505003,"perennial"
"Erysimum_uncinatifolium",0.0643750774344211,0.513446091568242,0.157676251579009,4.04711483505003,"perennial"
"Erysimum_gelidum",0.0643750774344211,0.513446091568242,0.157676251579009,4.04711483505003,"perennial"
"Erysimum_majellense",0.0643750774344211,0.513446091568242,0.157676251579009,4.04711483505003,"perennial"
"Erysimum_acrotonum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_leucanthemum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_ghaznicum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_czernjajevii",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_robustum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_diffusum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_crassicaule",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_siliculosum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_repandum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_quadrangulum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_witmannii",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_canum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_ischnostylum",0.0643750774344211,0.513446091568242,0.157676251579009,4.04711483505003,"perennial"
"Erysimum_roseum",0.0643750774344211,0.513446091568242,0.157676251579009,4.04711483505003,"perennial"
"Erysimum_deflexum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_cheiri",0.0643750774344211,0.513446091568242,0.157676251579009,4.04711483505003,"perennial"
"Erysimum_scoparium",0.0643750774344211,0.513446091568242,0.157676251579009,4.04711483505003,"perennial"
"Erysimum_grandiflorum",0.0643750774344211,0.513446091568242,0.157676251579009,4.04711483505003,"perennial"
"Erysimum_myriophyllum",0.0587724229591275,0.513446091568242,0.240973725974142,3.77932461905234,"annual"
"Erysimum_duriaei",0.0643750774344211,0.513446091568242,0.157676251579009,4.04711483505003,"perennial"
"Erysimum_semperflorens",0.0643750774344211,0.513446091568242,0.157676251579009,4.04711483505003,"perennial"
