"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Aphyllon_vallicolum",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Aphyllon_corymbosum",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Aphyllon_tuberosum",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Aphyllon_purpureum",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Aphyllon_uniflorum",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Aphyllon_fasciculatum",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Phelipanche_nana",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Phelipanche_coelestis",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Phelipanche_ramosa",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Phelipanche_aegyptiaca",0.0447021305468258,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Phelipanche_rosmarina",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Phelipanche_purpurea",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Phelipanche_arenaria",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_transcaucasica",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_picridis",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_pubescens",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_crenata",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Orobanche_artemisiae-campestris",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_minor",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_amethystea",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_hederae",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_ballotae",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_santolinae",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_bartlingii",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_elatior",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_lucorum",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_haenseleri",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_flava",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_reticulata",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_rapum-genistae",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_densiflora",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_foetida",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_gracilis",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_lutea",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_caryophyllacea",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_teucrii",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_coerulescens",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Orobanche_pycnostachya",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Mannagettaea_hummelii",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Cistanche_tubulosa",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Cistanche_deserticola",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Cistanche_salsa",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Conopholis_alpina",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Epifagus_virginiana",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Kopsiopsis_strobilacea",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Boschniakia_rossica",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Castilleja_exserta",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Castilleja_miniata",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Triphysaria_pusilla",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Lamourouxia_rhinanthifolia",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Cordylanthus_ramosus",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Orthocarpus_bracteosus",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Agalinis_purpurea",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Seymeria_pectinata",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Pedicularis_canadensis",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Pedicularis_tuberosa",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Pedicularis_ingens",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Striga_asiatica",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Striga_elegans",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Striga_bilabiata",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Hyobanche_atropurpurea",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Hyobanche_sanguinea",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Harveya_capensis",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Bellardia_trixago",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Parentucellia_viscosa",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Euphrasia_pectinata",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Tozzia_alpina",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Rhinanthus_glacialis",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Rhinanthus_minor",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Lathraea_squamaria",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Melampyrum_arvense",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Siphonostegia_chinensis",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Siphonostegia_laeta",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Schwalbea_americana",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Monochasma_sheareri",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Lindenbergia_indica",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Lindenbergia_muraria",0.0408254568264555,0.954087902470083,2.15192758090905,2.57300924573451,"annual"
"Lindenbergia_philippensis",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Rehmannia_chingii",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Rehmannia_henryi",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
"Rehmannia_piasezkii",0.0447021305468256,0.954087902470083,2.21659985069474,2.57171532129102,"perennial"
