"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Erysimum_smyrnaeum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_sintenisianum",0.060519863902005,0.716327780894655,0.344815913021603,8.27159024841568,"perennial"
"Erysimum_odoratum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_sylvestre",0.0605105360287116,0.716327780894655,0.344815912919016,8.27159024841568,"perennial"
"Erysimum_aureum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_franciscanum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_capitatum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_asperum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_incanum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_cheiranthoides",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_pusillum",0.0605105360287116,0.716327780894655,0.344815912919016,8.27159024841568,"perennial"
"Erysimum_bonannianum",0.0605105360287116,0.716327780894655,0.344815912919016,8.27159024841568,"perennial"
"Erysimum_sisymbrioides",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_crassistylum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_crassipes",0.0605105360287116,0.716327780894655,0.344815912919016,8.27159024841568,"perennial"
"Erysimum_pectinatum",0.0605105360287116,0.716327780894655,0.344815912919016,8.27159024841568,"perennial"
"Erysimum_hajastanicum",0.0605105360287116,0.716327780894655,0.344815912919016,8.27159024841568,"perennial"
"Erysimum_uncinatifolium",0.0605105360287116,0.716327780894655,0.344815912919016,8.27159024841568,"perennial"
"Erysimum_gelidum",0.0605105360287116,0.716327780894655,0.344815912919016,8.27159024841568,"perennial"
"Erysimum_majellense",0.0605105360287116,0.716327780894655,0.344815912919016,8.27159024841568,"perennial"
"Erysimum_acrotonum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_leucanthemum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_ghaznicum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_czernjajevii",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_robustum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_diffusum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_crassicaule",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_siliculosum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_repandum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_quadrangulum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_witmannii",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_canum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_ischnostylum",0.0605105360287116,0.716327780894655,0.344815912919016,8.27159024841568,"perennial"
"Erysimum_roseum",0.0605137726190274,0.716327780894655,0.344815912954611,8.27159024841568,"perennial"
"Erysimum_deflexum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_cheiri",0.0605105360287116,0.716327780894655,0.344815912919016,8.27159024841568,"perennial"
"Erysimum_scoparium",0.0605105360287116,0.716327780894655,0.344815912919016,8.27159024841568,"perennial"
"Erysimum_grandiflorum",0.0605105360287116,0.716327780894655,0.344815912919016,8.27159024841568,"perennial"
"Erysimum_myriophyllum",0.0603096330762542,0.716327780894655,0.351948445404814,8.22615217741314,"annual"
"Erysimum_duriaei",0.0605105360287116,0.716327780894655,0.344815912919016,8.27159024841568,"perennial"
"Erysimum_semperflorens",0.0605105360287116,0.716327780894655,0.344815912919016,8.27159024841568,"perennial"
